,GDP per capita (yuan),,,Gross Regional Product (100 million yuan),,,Total Amount of Foreign Investment Actually Used (10 thousand usd),,,Annual Average Exchange Rate,GDP of Secondary Industry (100 million yuan),,,GDP of Tertiary Industry (100 million yuan),,,"Average Number of College Students per 10,000 Population)",,,Total Foreign Trade Imports and Exports (100 million yuan),,,Number of Patent Applications Accepted,,
Year,Liaoning GDP per capita (yuan),Jilin GDP per capita (yuan),Heilongjiang GDP per capita (yuan),Liaoning Gross Regional Product (100 million yuan),Jilin Gross Regional Product (100 million yuan),Heilongjiang Gross Regional Product (100 million yuan),Liaoning Total Amount of Foreign Investment Actually Used (10 thousand usd),Jilin Total Amount of Foreign Investment Actually Used (10 thousand usd),Heilongjiang Total Amount of Foreign Investment Actually Used (10 thousand usd),Annual Average Exchange Rate,Liaoning GDP of Secondary Industry (100 million yuan),Jilin GDP of Secondary Industry (100 million yuan),Heilongjiang GDP of Secondary Industry (100 million yuan),Liaoning GDP of Tertiary Industry (100 million yuan),Jilin GDP of Tertiary Industry (100 million yuan),Heilongjiang GDP of Tertiary Industry (100 million yuan),"Liaoning Average Number of College Students per 10,000 Population)","Jilin Average Number of College Students per 10,000 Population)","Heilongjiang Average Number of College Students per 10,000 Population)",Liaoning Total Foreign Trade Imports and Exports (100 million yuan),Jilin Total Foreign Trade Imports and Exports (100 million yuan),Heilongjiang Total Foreign Trade Imports and Exports (100 million yuan),Liaoning Number of Patent Applications Accepted,Jilin Number of Patent Applications Accepted,Heilongjiang Number of Patent Applications Accepted
1997,8725,5591,7133,3582.46,1446.91,2708.46,221446,40227,73485,8.2898,1743.9,566.97,1432.9,1364.2,529.21,774.4,48.4,42.38298527,30.86296987,1074.35808,153.546,204.176116,5142,1672,2642
1998,9415,5983,7375,3881.73,1557.78,2798.89,220471,40917,52639,8.2791,1855.2,585.65,1482.3,1495.1,561.9,863,50.3,45.2904118,33.16724092,1054.75734,136.8204,166.4488218,5643,1960,2695
1999,10086,6382,7578,4171.69,1669.56,2897.41,206366,30120,81895,8.2783,2001.5,654.52,1556.7,1649.4,604.07,932.4,60.2,53.36187455,41.41956751,1136.61059,183.5549,181.3999044,6065,2111,2987
2000,11177,7351,8294,4669.06,1821.19,3253,255219,33701,83085,8.2784,2344.4,768.89,1731.7,1821.2,783.89,1036.6,71.4,66.72249077,52.63619648,1574.55168,211.4168,247.2095808,7151,2501,3106
2001,12015,7893,8900,5033.08,2032.48,3561,311293,33766,86114,8.2771,2440.6,852.51,1773.3,2048.1,858.74,1181.15,87.9,82.59072466,71.22408817,1647.97061,259.3307,280.18,7514,2627,3670
2002,13000,8714,9541,5458.22,2246.12,3882.16,391561,24468,94556,8.277,2609.9,943.49,1843.6,2258.2,958.88,1319.4,107.4,99.90941345,87.75950695,1799.4198,306.8394,360.05385,9851,3413,4392
2003,14270,9854,10638,6002.54,2522.62,4430,558262,31808,102972,8.277,2898.9,1098.44,2084.7,2487.9,1075.49,1467.9,123.7,120.1760325,102.8,2198.3712,510.8627,441.1641,13545,4267,4972
2004,15987,11537,12449,6872.652095,2958.21,5303.004095,540679,45266,123639,8.2768,3109.39,1329.68,2487,2828.3,1223.64,1670.3,140.2,136.0682219,157.8,2850.52992,562.2442,562.0083,14695,3657,4919
2005,19254,13348,14516,8009.01,3620.27,5511.5,359042,66115,144690,8.1943,3926.23,1580.83,2990.61,3314.49,1413.83,1867.58,158,152.5811044,192.3,3360.48243,526.8525,783.94569,15672,4101,6050
2006,22112,15720,16346,9251.15,4275.12,6188.9,598554,76064,170801,7.9734,4628.54,1915.29,3387.86,3820.92,1687.07,2108.45,172,162.3810412,213.3,3858.32826,617.986,1025.16885,17052,4578,6535
2007,26255,19383,18685,11023.49,5284.69,7065,909673,88495,208508,7.6075,5620.5,2475.45,3721.82,4513.7,2025.44,2507.13,184.7,174.4000593,220.7,4524.18025,752.3322,1315.4816,19518,5251,7242
2008,31918,23521,21879,13461.57,6424.06,8310,1201925,99331,254742,6.9487,7246.04,3097.12,4354.35,5239.71,2412.26,2924.25,193.9,185.9804464,242.7,5033.63828,926.5215,1590.4279,20893,5536,7974
2009,35325,26595,22621,15212.49,7278.75,8587,1544390,113977,236200,6.8314,8012.61,3541.92,4104.01,5929.78,2756.26,3395.18,200.8,195.256481,253,4298.31688,802.4676,1107.9882,25803,5934,9014
2010,42518,31599,27266,18457.27,8667.58,10368.6,2075010,128042,266151,6.7703,10107.8,4506.31,5073.07,6894.34,3111.12,4066.27,206.8,199.8678317,257.1,5461.60101,1140.415,1726.2225,34216,6445,10269
2011,50930,38460,33024,22226.7,10568.83,12582,2426739,148125,324804,6.4615,12326.79,5611.48,6013.56,8211.43,3679.91,4945.54,279,206.4184852,255.4039179,6200.4554,1423.9988,2487.28388,37102,8196,23432
2012,56731,43415,35938,24846.43,11939.24,13691.58,2679315,164865,389996,6.3123,13411.5,6376.77,6091.75,9519.31,4150.36,5573.37,289.5,214.2883583,258.3275952,6564.16077,1551.0892,2387.3875,41152,9171,30610
2013,62068,47428,37935,27213.22,13046.4,14454.91,2903996,181949,461331,6.1958,14179.34,6871.96,5898.44,11093.47,4707.7,6173.69,300.2,223.8193018,266.2584094,7080.56024,1601.0995,2407.91616,45996,10751,32264
2014,65164,50160,39468,28626.58,13803.14,15039.38,2742335,196643,508791,6.1434,14597.2,7286.59,5598.44,12013.19,4992.54,6922.43,303.7699387,231.4229027,270.4038085,7001.01864,1624.8195,2389.5492,37860,11933,31856
2015,65092,51086,39699,28669.02,14063.13,15083.67,518516,212747,544875,6.2275,13198.16,7005.71,4847.45,13303.7,5461.14,7693.5,297.6,237.669509,267.5960759,5984.00475,1176.1751,1307.34116,42153,14800,34611
2016,49990,53868,40432,22246.9,14776.8,15386.09,299902,227449,581833,6.6445,8606.54,7004.95,4400.69,11448.44,6273.33,8314.94,294.7282313,242.7896428,259.1036657,5748.8214,1216.9092,1093.7,52603,18922,35293
2017,53527,54838,41916,23409.24,14944.53,15902.68,533508,275000,583643.3773,6.7588,9199.8,6998.51,4060.6,12307.16,6850.66,8876.8,282.4462059,246.1579631,256.4909922,6719.59896,1254.1487,1280.7,49871,20450,30985